SetterPosition,ReceiveType,BlockingNum,ReceivingPlayer,PassQuality,Attacker,AttackResult,killType,KillX,KillY,killTeam,hitFix,BlockResult,BlockingPlayer,BlockingAssist,SetID
6,S,,21,2,15,K,S,2,3,1,,,,,5
5,R,2,4,2,15,D,,,,,,,,,5
5,F,1,4,2,-1,D,,,,,,,,,5
5,L,2,21,1,-1,D,,,,,,,,,5
5,O,0,9,3,9,D,,,,,,,,,5
5,F,0,21,2,9,D,,,,,,,,,5
5,L,2,,,,,,,,,,D,13,9,5
5,L,2,,,,,,,,,,E,13,9,5
5,S,,21,1,15,D,,,,,,,,,5
5,R,1.5,4,1,-1,D,,,,,,,,,5
5,L,2,,,,,,,,,,D,13,9,5
5,F,0,11,3,13,K,S,1,2,1,,,,,5
5,A,2,,,,,,,,,,T,15,13,5
4,S,,21,2,15,E,,,,,,,,,5
3,R,2,15,1,21,D,,,,,,,,,5
3,R,2,11,1,-1,D,,,,,,,,,5
3,R,2,11,0,,,T,3,1,0,,,,,5
2,L,1,15,0,,,S,2,3,0,,,,,5
2,S,,11,3,1,E,,,,,,,,,5
2,S,,11,1,21,O,,,,,,,,,5
1,R,2,,,,,,,,,,D,21,1,5
1,L,2,15,1,,,,,,,,,,,5
1,R,2,15,1,9,D,,,,,,,,,5
1,L,2,15,2,21,E,,,,,,,,,5
1,S,,21,2,1,E,,,,,,,,,5
1,S,,11,3,9,K,S,2,2,1,,,,,5
5,S,,21,3,13,B,,,,,,,,,5
5,S,,21,0,-1,D,,,,,,,,,5
5,A,1,21,3,9,D,,,,,,,,,5
5,L,2,,,,,,,,,,D,9,13,5
5,F,0,21,2,15,E,,,,,,,,,5
5,S,,21,0,15,D,,,,,,,,,5
5,L,2,4,2,15,D,,,,,,,,,5
5,L,2,,,,,,,,,,K,9,13,5
4,R,1,21,2,15,O,,,,,,,,,5
4,O,0,9,3,13,E,,,,,,,,,5
4,S,,11,0,-1,D,,,,,,,,,5
4,R,1,-1,,,,S,3,3,0,,,,,5
4,S,,11,3,13,D,,,,,,,,,5
4,L,2,15,2,15,K,S,3,2,1,,,,,5
3,L,2,,,,,,,,,,D,13,4,5
3,O,0,11,3,21,K,S,1,3,1,,,,,5
3,O,1,21,,,,,,,,,,,,5
3,R,1.5,-1,,,,S,1,3,0,,,,,5
3,S,,15,2,13,D,,,,,,,,,5
2,M,1.5,-1,,,,S,1,3,0,,,,,5
2,S,,11,3,21,E,,,,,,,,,5
2,S,,15,3,1,D,,,,,,,,,5
2,P,0,-1,,,,T,1,1,0,,,,,5
2,S,,21,0,,,,,,,,,,,5
2,S,,11,0,,,,,,,,,,,5
2,R,2,,,,,,,,,,D,1,21,5
2,L,2,15,3,21,K,B,,,1,,,,,5
1,R,1.5,11,3,9,K,B,,,1,,,,,5
1,M,1,4,0,,,,,,0,,,,,5
1,L,1.5,-1,,,,S,2,2,0,,,,,5
1,S,,11,3,21,K,R,1,1,1,,,,,5
6,O,0,15,0,,,,,,,,,,,5
6,S,,15,2,15,E,,,,,,,,,5
6,S,,21,1,-1,D,,,,,,,,,5
6,M,2,9,0,,,T,1,1,0,,,,,5
6,S,,11,0,-1,D,,,,,,,,,5
6,L,1,21,0,,,S,3,3,0,,,,,5
6,S,,21,0,,,,,,,,,,,5
1,M,2,,,,,,,,,,E,18,21,6
1,S,,11,0,,,,,,,,,,,6
1,S,,21,0,9,D,,,,,,,,,6
6,L,1.5,,,,,,,,,,T,18,4,6
6,S,,21,3,9,E,,,,,,,,,6
6,S,,11,3,15,E,,,,,,,,,6
6,S,,11,3,15,K,S,3,3,1,,,,,6
5,M,1,-10,,,,,,,,,K,13,,6
5,L,2,,,,,,,,,,E,4,13,6
5,S,,11,2,15,B,,,,,,,,,6
5,S,,11,0,,,,,,,,,,,6
5,F,0,21,3,9,K,S,1,3,1,,,,,6
4,M,1,21,0,,,S,2,3,0,,,,,6
4,S,,11,0,,,,,,,,,,,6
4,S,,11,3,13,K,S,3,3,1,,,,,6
3,L,1.5,15,1,-1,E,,,,,,,,,6
3,S,,11,3,13,D,,,,,,,,,6
3,F,0,11,3,13,E,,,,,,,,,6
3,S,,11,1,4,D,,,,,,,,,6
3,F,0,9,3,21,D,,,,,,,,,6
